종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2390,110,4.82,2305,2410,2275,466414,1098542340,1.16003E+11,48536642
095570,AJ네트웍스,KOSPI,,4075,45,1.12,4000,4085,3995,87437,352769685,1.84405E+11,45252759
006840,AK홀딩스,KOSPI,,18230,650,3.7,18060,18360,17650,8107,146774090,2.41503E+11,13247561
054620,APS,KOSDAQ,중견기업부,6620,180,2.8,6480,6620,6400,74215,483830320,1.3501E+11,20394221
265520,AP시스템,KOSDAQ,우량기업부,17290,230,1.35,17310,17400,17100,56919,981619960,2.64216E+11,15281421
211270,AP위성,KOSDAQ,벤처기업부,13310,80,0.6,13200,13360,12800,269163,3551621840,2.00745E+11,15082304
027410,BGF,KOSPI,,3555,25,0.71,3555,3615,3535,137629,490586165,3.40273E+11,95716791
282330,BGF리테일,KOSPI,,150400,5800,4.01,147800,150900,145900,57857,8582451400,2.5995E+12,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4230,120,2.92,4200,4240,4110,130182,548038915,2.28561E+11,54033275
138930,BNK금융지주,KOSPI,,7040,240,3.53,6910,7040,6830,972144,6734247400,2.2675E+12,322088438
001460,BYC,KOSPI,,397500,13500,3.52,382000,399500,377500,223,87901500,2.48284E+11,624615
001465,BYC우,KOSPI,,138000,-1000,-0.72,137800,138000,137800,76,10481000,29723130000,215385
013720,CBI,KOSDAQ,중견기업부,1847,-43,-2.28,1890,1930,1835,336823,627907896,75139853476,40682108
083790,CG인바이츠,KOSDAQ,벤처기업부,2760,65,2.41,2685,2800,2685,128347,350030620,2.12228E+11,76894182
001040,CJ,KOSPI,,83700,-600,-0.71,84900,86000,82600,117305,9806630100,2.44211E+12,29176998
079160,CJ CGV,KOSPI,,5590,180,3.33,5500,5630,5440,1634771,9082246580,6.84391E+11,122431285
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,58200,1900,3.37,57100,58700,56000,126294,7264487500,1.27628E+12,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14220,290,2.08,14200,14390,13860,19377,275219080,1.2958E+11,9112502
00104K,CJ4우(전환),KOSPI,,67500,-1400,-2.03,68300,69100,67500,5971,405145600,2.8529E+11,4226512
000120,CJ대한통운,KOSPI,,78400,2500,3.29,76800,78400,76300,56189,4369817000,1.78849E+12,22812344
011150,CJ씨푸드,KOSPI,,2740,10,0.37,2730,2765,2715,86612,237815550,98450318020,35930773
011155,CJ씨푸드1우,KOSPI,,19130,30,0.16,20000,20000,18720,28,537370,3826000000,200000
001045,CJ우,KOSPI,,45100,300,0.67,44900,45600,44850,801,36266450,1.01936E+11,2260223
097950,CJ제일제당,KOSPI,,299500,10000,3.45,290000,299500,289500,24064,7082025500,4.50873E+12,15054186
097955,CJ제일제당 우,KOSPI,,128200,1400,1.1,126800,128800,126800,2308,294635300,1.70177E+11,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23000,350,1.55,22550,23050,22400,59126,1341371600,2.73046E+11,11871586
058820,CMG제약,KOSDAQ,중견기업부,2190,45,2.1,2165,2195,2150,551858,1199700750,3.04174E+11,138892244
023460,CNH,KOSDAQ,중견기업부,1910,-23,-1.19,1938,1956,1910,16505,31694546,71052000000,37200000
056730,CNT85,KOSDAQ,중견기업부,1209,-11,-0.9,1217,1220,1190,29015,35004187,57024849804,47166956
000480,CR홀딩스,KOSPI,,6530,230,3.65,6320,6590,6110,48883,315876330,1.83786E+11,28144832
065770,CS,KOSDAQ,벤처기업부,1437,7,0.49,1462,1462,1413,28105,40083119,27893793810,19411130
083660,CSA 코스믹,KOSDAQ,관리종목(소속부없음),1145,45,4.09,1145,1150,1080,54146,59692150,70128022245,61247181
000590,CS홀딩스,KOSPI,,58800,0,0,58900,59700,58800,675,39943800,67883541600,1154482
012030,DB,KOSPI,,1775,31,1.78,1750,1775,1726,618022,1084905782,3.57084E+11,201173933
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2825,160,6,2700,2830,2645,503228,1382595000,16498000000,5840000
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2075,0,0,2060,2075,2050,5957,12293875,11028625000,5315000
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),6020,0,0,0,0,0,0,0,29136800000,4840000
016610,DB금융투자,KOSPI,,3865,0,0,3875,3895,3855,102224,394878915,1.64055E+11,42446389
005830,DB손해보험,KOSPI,,86500,1500,1.76,84300,86500,83600,190815,16278790500,6.1242E+12,70800000
000990,DB하이텍,KOSPI,,55300,3200,6.14,53800,55300,52900,499208,27112351600,2.45524E+12,44398588
139130,DGB금융지주,KOSPI,,8200,220,2.76,7990,8200,7950,491473,3953129170,1.387E+12,169145833
060900,DGP,KOSDAQ,중견기업부,1846,-5,-0.27,1851,1907,1819,128715,236953069,44418557222,24062057
025440,DH오토웨어,KOSDAQ,중견기업부,2105,10,0.48,2100,2140,2080,28014,59021740,64794476520,30781224
001530,DI동일,KOSPI,,30500,550,1.84,30900,31200,29800,301854,9199365650,7.94241E+11,26040677
000210,DL,KOSPI,,47450,1950,4.29,46000,47450,45250,156332,7228504850,9.94357E+11,20955884
001880,DL건설,KOSPI,,12870,40,0.31,12900,12980,12640,21098,271006190,2.83826E+11,22053284
000215,DL우,KOSPI,,23050,600,2.67,22500,23450,22050,3611,81442150,38864950750,1686115
375500,DL이앤씨,KOSPI,,36500,750,2.1,35900,36500,35550,200469,7197904550,1.41232E+12,38693623
37550L,DL이앤씨2우(전환),KOSPI,,23650,250,1.07,23700,23800,23400,827,19493550,49947641150,2111951
37550K,DL이앤씨우,KOSPI,,18050,120,0.67,18000,18070,17880,3360,60335690,38155624250,2113885
068790,DMS,KOSDAQ,우량기업부,5880,220,3.89,5730,5900,5680,61633,357327280,1.4449E+11,24573061
